date,business_id,sold_lots,gmv_usd_current_fx,skipped_fx_lots,gmv_native_by_currency
2025-08-24,GD,427,623249.42,0,"{""CAD"":4636,""USD"":619985.66}"
2025-08-25,AD,782,83263.75,0,"{""USD"":83263.75}"
2025-08-25,ALL,2391,2385906.84,0,"{""BRL"":400000,""CAD"":248880,""USD"":2133346.47}"
2025-08-25,GD,1605,2220045.05,0,"{""CAD"":248880,""USD"":2044832.72}"
2025-08-25,GI,4,82598.04,0,"{""BRL"":400000,""USD"":5250}"
2025-08-26,AD,1028,19600.19,0,"{""USD"":19600.19}"
2025-08-26,ALL,2859,3043508.76,0,"{""BRL"":152299,""CAD"":292936.28,""CNY"":258300,""USD"":2740400.31,""ZAR"":483936.43}"
2025-08-26,GD,1796,2927028.21,0,"{""CAD"":292936.28,""USD"":2720800.12}"
2025-08-26,GI,35,96880.36,0,"{""BRL"":152299,""CNY"":258300,""ZAR"":483936.43}"
2025-08-27,AD,961,17567.9,0,"{""USD"":17567.9}"
2025-08-27,ALL,2795,3338176.88,0,"{""BRL"":336989,""CAD"":125965,""USD"":2951519.64,""ZAR"":3823155}"
2025-08-27,GD,1573,2878910.77,0,"{""CAD"":125965,""USD"":2790231}"
2025-08-27,GI,261,441698.21,0,"{""BRL"":336989,""USD"":143720.74,""ZAR"":3823155}"
2025-08-28,AD,987,553785.23,0,"{""USD"":553785.23}"
2025-08-28,ALL,2884,5644976.89,0,"{""CAD"":106801.53,""CNY"":1549000,""USD"":5332429.28,""ZAR"":159500}"
2025-08-28,GD,1676,4364051.95,0,"{""CAD"":106801.53,""USD"":4288863.33}"
2025-08-28,GI,221,727139.71,0,"{""CNY"":1549000,""USD"":489780.72,""ZAR"":159500}"
2025-08-29,AD,974,37373.48,0,"{""USD"":37373.48}"
2025-08-29,ALL,2154,2823824.78,0,"{""AUD"":62,""BRL"":452754,""CAD"":64482,""USD"":2690837.45}"
2025-08-29,GD,1158,2402960.95,0,"{""CAD"":64482,""USD"":2357565.41}"
2025-08-29,GI,22,383490.36,0,"{""AUD"":62,""BRL"":452754,""USD"":295898.56}"
2025-08-30,AD,946,24046.8,0,"{""USD"":24046.8}"
2025-08-30,ALL,1393,462034.59,0,"{""CAD"":1427,""USD"":461029.98}"
2025-08-30,GD,446,437687.79,0,"{""CAD"":1427,""USD"":436683.18}"
2025-08-30,GI,1,300,0,"{""USD"":300}"
2025-08-31,AD,503,9430.33,0,"{""USD"":9430.33}"
2025-08-31,ALL,918,509853.1,0,"{""CAD"":120,""USD"":509768.62}"
2025-08-31,GD,415,500422.77,0,"{""CAD"":120,""USD"":500338.29}"
2025-09-01,AD,3,9300,0,"{""USD"":9300}"
2025-09-01,ALL,1004,1640722.19,0,"{""BRL"":422500,""CAD"":55209,""USD"":1520156}"
2025-09-01,GD,998,1549723.32,0,"{""CAD"":55209,""USD"":1510856}"
2025-09-01,GI,3,81698.87,0,"{""BRL"":422500}"
2025-09-02,AD,529,14772.68,0,"{""USD"":14772.68}"
2025-09-02,ALL,2475,3173047.26,0,"{""CAD"":102169.54,""USD"":3101119.57}"
2025-09-02,GD,1944,3153245.97,0,"{""CAD"":102169.54,""USD"":3081318.28}"
2025-09-02,GI,2,5028.61,0,"{""USD"":5028.61}"
2025-09-03,AD,793,193288.36,0,"{""USD"":193288.36}"
2025-09-03,ALL,2319,3319568.2,0,"{""BRL"":92000,""CAD"":32716,""USD"":3278745.98}"
2025-09-03,GD,1520,3078903.79,0,"{""CAD"":32716,""USD"":3055871.62}"
2025-09-03,GI,6,47376.05,0,"{""BRL"":92000,""USD"":29586}"
2025-09-04,AD,831,25575.06,0,"{""USD"":25575.06}"
2025-09-04,ALL,2391,2745101.36,0,"{""CAD"":484322,""EUR"":17225,""GBP"":1100,""USD"":2383016.6}"
